name,tabelog_url,google_url,google_reviews,tabelog_score
Tori Take,https://tabelog.com/ishikawa/A1701/A170101/17009295/,https://maps.google.com/?cid=7281762802150832871&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0,3.71
Nagai,https://tabelog.com/saitama/A1103/A110302/11033420/,https://maps.google.com/?cid=13302344045716885570&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0,3.7
Gyoran Tei Hon Ten,https://tabelog.com/fukuoka/A4004/A400401/40000363/,https://maps.google.com/?cid=8239288295126549779&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0,3.68
Ichiyajo Yoroizuka Farm,https://tabelog.com/kanagawa/A1409/A140901/14043156/,https://maps.google.com/?cid=17305577807680564131&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0,3.68
Kise,https://tabelog.com/okinawa/A4702/A470201/47011807/,https://maps.google.com/?cid=11301199115267412649&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0,3.68
Sumibi Yakiniku Ichiba Jejuya Hon Ten,https://tabelog.com/gunma/A1001/A100102/10001876/,https://maps.google.com/?cid=441109314827891370&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0,3.68
Cafe Verdi,https://tabelog.com/kyoto/A2601/A260503/26003964/,https://maps.google.com/?cid=11540582685614956751&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0,3.67
Rika Shokudo Tenma Honten,https://tabelog.com/osaka/A2701/A270103/27004781/,https://maps.google.com/?cid=1423233585043146252&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0,3.67
Azuma,https://tabelog.com/kagawa/A3701/A370101/37001224/,https://maps.google.com/?cid=1770275100610946879&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0,3.66
Tonkatsu Shokubo Atsumaru,https://tabelog.com/aichi/A2301/A230114/23006270/,https://maps.google.com/?cid=15445530886781594342&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0,3.66
Omi Gyu Senmon Ten Restaurant Matsukiya Hon Ten,https://tabelog.com/shiga/A2501/A250101/25000784/,https://maps.google.com/?cid=6486745674081108834&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0,3.65
Kuku Hanare,https://tabelog.com/osaka/A2705/A270501/27128792/,https://maps.google.com/?cid=9763309994114403953&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0,3.64
Shinra Kan Meito Honten,https://tabelog.com/aichi/A2301/A230111/23000966/,https://maps.google.com/?cid=14235812407908177741&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0,3.57
Daruma,https://tabelog.com/toyama/A1601/A160101/16000054/,https://maps.google.com/?cid=9541879671170255065&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0,3.56
LaLa Curry,https://tabelog.com/shizuoka/A2202/A220201/22030476/,https://maps.google.com/?cid=10448428084437266455&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0,3.5
