id,name,name_jp,category,region,station,hours_confidence,reason,reason_detail,hours_raw_count,business_hours_key_count,closed_on_note,tabelog_url
ChIJVVVO0-0vAWARlrPbcEsmBuo,一平ちゃん,一平ちゃん,Asian Ethnic,WEST,生駒郡斑鳩町,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/nara/A2902/A290203/29003583/
ChIJZbNbMhf3GGAR-33OAAAp8iQ,La Belle Colline,ラ ベルコリーヌ,Bakery,EAST,たまプラーザ駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/kanagawa/A1401/A140201/14000431/
ChIJe-j1zKf7AGARy-faIN-p-ak,La Fournee,ラ・フルネ,Bakery,WEST,肥後橋駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/osaka/A2701/A270102/27081942/
ChIJZaPmH5HNHWARueV9TNxZCm0,haluta bageri,haluta bageri,Bakery,EAST,北佐久郡軽井沢町,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/nagano/A2003/A200301/20011411/
ChIJv57FeoQpC18R8V_BrzNaaVU,BAR PROOF,バー・プルーフ,Bar,バー 百名店,狸小路駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/hokkaido/A0101/A010103/1000004/
ChIJxXoT6MMIAWAROi8nMplVkMI,Gion Sambor,祇園サンボア,Bar,バー 百名店,祇園四条駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/kyoto/A2601/A260301/26001401/
ChIJZbQOgdfmAGARM6XGeV0QEw8,Cafe Toki ona,カフェトキオナ,Cafe,WEST,大阪天満宮駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/osaka/A2701/A270103/27065349/
ChIJK-ToI5H1QDUR2a7g6pcj4oI,.know,.know,Creative Cuisine/Innovative,創作料理・イノベーティブ 百名店,熊本市中央区,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/kumamoto/A4301/A430101/43015731/
ChIJCZ4QFIYHAWARxdH_nTQ680Y,CAINOYA,CAINOYA,Creative Cuisine/Innovative,創作料理・イノベーティブ 百名店,妙心寺駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/kyoto/A2601/A260402/26040164/
ChIJKXGg37-RQTUR2lzuuBp1XVk,Goh,Goh,Creative Cuisine/Innovative,創作料理・イノベーティブ 百名店,櫛田神社前駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/fukuoka/A4001/A400103/40062839/
ChIJC6bu68_nAGAR1xvv0PK3rNI,Kosuda,こすだ,Creative Cuisine/Innovative,創作料理・イノベーティブ 百名店,天神橋筋六丁目駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/osaka/A2701/A270103/27127044/
ChIJoUkmUk0tHGARiqYTr9RbNHQ,LA CASA DI Tetsuo Ota,ラ・カーサ・ディ・テツオ オオタ,Creative Cuisine/Innovative,創作料理・イノベーティブ 百名店,北佐久郡軽井沢町,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/nagano/A2003/A200301/20023219/
ChIJS27vQF_LQTURDWgjBpZ5Zbk,Restaurant  5,レストラン 5,Creative Cuisine/Innovative,創作料理・イノベーティブ 百名店,佐賀市,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/saga/A4101/A410101/41006723/
ChIJI0Un10l3A2ARfKNjvgQw4tE,Tout La Joie Ism,トゥ・ラ・ジョア イズム,Creative Cuisine/Innovative,創作料理・イノベーティブ 百名店,尾頭橋駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/aichi/A2301/A230105/23078483/
ChIJ2XGTaUvzGGAR5Wu30KORhDA,ete,ete,Creative Cuisine/Innovative,創作料理・イノベーティブ 百名店,代々木上原駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1318/A131811/13249143/
ChIJgZy7tReJGGARuNeWTz4wr94,EN FACE,アン ファス,French,TOKYO,人形町駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1302/A130204/13238193/
ChIJIyZ8pbKlbV8RkEksmKTldOo,Fenetre,フェネトレ,French,EAST,標津郡中標津町,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/hokkaido/A0112/A011204/1064822/
ChIJPXO-C6TXQTURqY5T8sFUl_o,Karatsu Burger Nijinomatsubara Honten,からつバーガー 虹ノ松原本店,Hamburger,ハンバーガー 百名店,唐津市,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/saga/A4102/A410201/41000364/
ChIJeweDBrHo-F8RqvOqKmdvol0,CARNA,カルナ,Ice Cream & Gelato,アイス・ジェラート 百名店,坂井市,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/fukui/A1801/A180102/18000273/
ChIJf5r31vL1GGARlj13nXxgaT0,GELATERIA VITALI,ジェラテリア・ヴィタリ,Ice Cream & Gelato,アイス・ジェラート 百名店,自由が丘駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1317/A131703/13207900/
ChIJW-RIu1wu8V8RGeNwbBNJFw0,Aiuto,アユート,Italian,WEST,輪島市,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/ishikawa/A1704/A170401/17008177/
ChIJr364g8vzGGARJ5gxapNBMv8,Cignale ENOTECA,チニャーレエノテカ,Italian,TOKYO,神泉駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1318/A131801/13189915/
ChIJVfSaca6NGGARwNtjfNuAIDA,Inbosuko Jingumae,いんぼすこ 神宮前,Italian,TOKYO,明治神宮前駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1306/A130601/13272681/
ChIJndC6-1SLGGARntkiuxIxYEs,megriva,メグリヴァ,Italian,TOKYO,中目黒駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1317/A131701/13225445/
ChIJs8T_e64KYDQRiUKvQg-kMN8,Hitoshi Ishiganto Ten,ひとし 石敢當店,Izakaya,WEST,石垣市,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/okinawa/A4705/A470501/47001357/
ChIJEeMnHwCJGGAR3jmt49Jr7MI,Aji Hiro,味ひろ,Japanese,TOKYO,新富町駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1313/A131301/13293039/
ChIJNVxYW96NGGARcDeKVU0b6E0,Bungo Mon Eto,豊後もん 江とう,Japanese,TOKYO,牛込神楽坂駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1309/A130905/13268276/
ChIJqfhWjbeLGGAR7bcMF5RV2Dc,Edo Mae Shibahama,江戸前芝浜,Japanese,TOKYO,芝公園駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1314/A131401/13260165/
ChIJnyoByPVJGmARry9UwGdOj4I,Go,ごう,Japanese,EAST,静岡市葵区,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/shizuoka/A2201/A220101/22027057/
ChIJM6g_GddwA2ARXNMw8NSU7mU,Izumo,出雲,Japanese,EAST,名古屋市東区,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/aichi/A2301/A230103/23008421/
ChIJBajTenx3A2ARb72GZzFaC5I,Japanese cuisine Nao,日本料理 直,Japanese,EAST,国際センター駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/aichi/A2301/A230101/23072816/
ChIJa6OPdmSNGGARsPFL6drYVoA,Jigen Do,時限堂,Japanese,TOKYO,赤坂見附駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1308/A130801/13292021/
ChIJwcDs32ZwA2AR1DgPnj6g79M,Kajikawa,梶川,Japanese,EAST,池下駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/aichi/A2301/A230106/23000897/
ChIJv1ZzHuWLGGAR80F7_9EUMCU,Kitagawa,銀座 きた川,Japanese,TOKYO,銀座一丁目駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1301/A130101/13275790/
ChIJ5d7mW-yLGGARiCOIek8Dmns,Mitaka,味享,Japanese,TOKYO,内幸町駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1301/A130103/13228116/
ChIJIcqXTnaNGGAR-LIrnd7kNZ8,Mori Fuji,森ふじ,Japanese,TOKYO,牛込神楽坂駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1309/A130905/13240181/
ChIJ5dqM3H6MGGAR_a-EGk9bO0w,Morikawa,もりかわ,Japanese,TOKYO,港区,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1308/A130801/13002772/
ChIJP4yjD2KJGGARL0QOqZCu2GM,Rokkan,六寛,Japanese,TOKYO,中央区,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1313/A131301/13178685/
ChIJ6z9fnYCLGGARnlOY7WJ7OTU,Sakou,さ行,Japanese,TOKYO,港区,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1308/A130801/13118721/
ChIJF13vKDB-QTUR0hl93W1ITHY,Rai Rai,来来,Ramen,WEST,飯塚市,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/fukuoka/A4007/A400702/40036441/
ChIJtXT2jySJGGARfMfDVwnB4bo,Tonkatsu Odayasu Jonai Ten,とんかつ小田保 場内店,Shokudo (Japanese Diner),食堂 百名店,市場前駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1313/A131307/13026535/
ChIJD7PVWvsHAWAR89C1iRFRKT0,Teuchi Soba Kanei,手打ち蕎麦 かね井,Soba,WEST,京都市北区,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/kyoto/A2601/A260503/26001676/
ChIJG3iy1ri1HGARzemC8REkSF0,Teuchi Soba Wakuri,手打蕎麦 わくり,Soba,EAST,中津川市,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/gifu/A2103/A210303/21014458/
ChIJgaWRR3eNAGARg2KuQI7ogTI,BARMOS,BARMOS,Spanish,スペイン料理 百名店,六甲道駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/hyogo/A2801/A280108/28051246/
ChIJnWDRuu3mAGARzHCgkMgVEuY,Steak Tsuji,ステーキ・つじ,"Steak, Teppanyaki",WEST,北新地駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/osaka/A2701/A270101/27038198/
ChIJcVYwuGGLGGARVjFnLBwJGjI,Ura Tora,裏虎,"Steak, Teppanyaki",EAST,目黒区,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1317/A131701/13216607/
ChIJOY3wdXeLGGARlWZ79IOHZ70,Kiyota Hanare,きよ田 離れ,Sushi,TOKYO,銀座駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1301/A130101/13256392/
ChIJbbBtg2jzGGAR13cGyfVAoEI,Kozasa Sushi,小笹寿し,Sushi,TOKYO,下北沢駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1318/A131802/13001397/
ChIJg9qi1Cf1QDUR6SUHSgc5hNc,Murakami,むら上,Sushi,WEST,熊本市中央区,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/kumamoto/A4301/A430101/43014482/
ChIJA_Nki3plA2ARsRIltHzpbOk,Okei Sushi Hongo Ten,おけい鮨 本郷店,Sushi,EAST,本郷駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/aichi/A2301/A230111/23000835/
ChIJM8SrLhPnAGARwOvM1DKEPwE,Sumiya,墨や,Sushi,WEST,大阪難波駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/osaka/A2701/A270202/27099496/
ChIJM6GD1aGLGGARDwdlBjsl_Rg,Sushi Fujinaga,鮓 ふじなが,Sushi,TOKYO,麻布十番駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1307/A130702/13265370/
ChIJL5RxpOCyAGARBEf7qsBAQI8,Sushi Gishin,鮨義心,Sushi,WEST,和歌山市,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/wakayama/A3001/A300101/30004938/
ChIJS5gwJXzyGGARR1cYYYsL1rM,Sushi Hayashi,鮨 波やし,Sushi,TOKYO,高円寺駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1319/A131904/13238504/
ChIJ6dIeosEIAWARXxd2aOzLKjQ,Sushi Matsumoto,鮨まつもと,Sushi,WEST,祇園四条駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/kyoto/A2601/A260301/26002579/
ChIJyZYYhxRxA2ARgRg-bVr5rD4,Sushi Michi Sakurada,寿し道 桜田,Sushi,EAST,久屋大通駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/aichi/A2301/A230103/23089705/
ChIJp4WjBw6LGGARvFDGTfc7D2o,Sushi Shinpaku,鮨 心白,Sushi,TOKYO,恵比寿駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1303/A130302/13239713/
ChIJFYitIsaLGGARoc_a_tYb3U4,Sushi Taichi,鮨 太一,Sushi,TOKYO,銀座駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1301/A130101/13060788/
ChIJ31GxQhCLGGARnMCCACcB6P4,Sushi Taira,すし 田いら,Sushi,TOKYO,港区,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1307/A130702/13271063/
ChIJ3X8uz53nAGARJ3z-ZyWrKn4,Sushi Takumi,鮨 たく未,Sushi,WEST,本町駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/osaka/A2701/A270106/27127383/
ChIJTV9t7uiLGGARbd7caq1Xh4c,Sushi Yoshitake,鮨 よしたけ,Sushi,TOKYO,新橋駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1301/A130101/13024076/
ChIJmXeJyNPnAGARYKlwaCoU8uY,Sushi shizuku Nishitenma,鮨shizuku 西天満,Sushi,WEST,大江橋駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/osaka/A2701/A270102/27130932/
ChIJXSHxK6bnAGARFjZVkiszYXI,mikami limited50,mikami limited50,Sushi,WEST,四ツ橋,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/osaka/A2701/A270201/27124954/
ChIJAQCEVHdlAGARTfe7XVOsiek,Chocolaterie Rojira,ショコラトリー ロジラ,Sweets,WEST,ウッディタウン中央駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/hyogo/A2807/A280703/28010088/
ChIJ4Rd1d2RwA2ARL6aQBtA2qcg,KOBOYA Ikeshita Ten,フルーツパーラー 弘法屋 池下店,Sweets,EAST,池下駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/aichi/A2301/A230106/23020841/
ChIJ10Z_Og-gA2ARqKwKVSl22Mo,pâtisserie an Du temps pour la maison,パティスリー アン デュ トン プール ラ メゾン,Sweets,EAST,稲沢市,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/aichi/A2302/A230201/23041407/
ChIJwfy2vUvnAGAR73iGlL_yQkI,Numata,ぬま田,Tempura,天ぷら 百名店,北新地駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/osaka/A2701/A270101/27119864/
ChIJw_pPCTAoil8RyOse8Jzxl0M,Tempura Azumi,天ぷら 安住,Tempura,天ぷら 百名店,勾当台公園駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/miyagi/A0401/A040101/4010809/
ChIJ5SQ6XB9xA2ARB60oCzVsx2E,Tempura Kusunoki,天婦羅くすのき,Tempura,天ぷら 百名店,国際センター駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/aichi/A2301/A230101/23082892/
ChIJvdV87IiJGGARleVGizDqYLw,Tempura Yaguchi,天ぷら やぐち,Tempura,天ぷら 百名店,人形町駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1302/A130204/13248312/
ChIJt6L_9KjbUzURnYGOnqhTTYk,Jun Teuchi na Manpuku Udon,准手打ちな 満福うどん,Udon,KAGAWA,丸亀市,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/kagawa/A3702/A370202/37010831/
ChIJ2RpkJzgvG2AR1Y18rGPE9Xg,Sumiyaki Unagi Kamo,炭焼うなぎ 加茂,Unagi,うなぎ 百名店,浜松市浜名区,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/shizuoka/A2202/A220201/22008615/
ChIJAQC9L8AIAWARf4C6GEp4wDw,Miyoshiya,みよしや,Wagashi,WEST,祇園四条駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/kyoto/A2601/A260301/26002185/
ChIJrVoguxuMGGARo34wGbVuyx8,Niou,土桜,Western Food,EAST,新御茶ノ水駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1310/A131002/13000619/
ChIJ-4j0H5znAGARzfrT12rz_Zk,Hanzou,半蔵,Yakiniku,WEST,西大橋駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/osaka/A2701/A270201/27034895/
ChIJDT1BS_CLGGARlJs7gADZ1sQ,Kourai Tei,高麗亭,Yakiniku,TOKYO,渋谷駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1303/A130301/13013023/
ChIJUeFmndXLHmAR_bQUHWtGYDA,Takasago Horumon,高砂ホルモン,Yakiniku,EAST,御花畑駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/saitama/A1107/A110701/11003214/
ChIJY0_QwJTmAGARzRjkDLJUoeo,Goichi,吾一,Yakitori,WEST,肥後橋駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/osaka/A2701/A270102/27112024/
ChIJgaupnePnAGARiN2N7pKHS2A,Ishii Jr.,いし井Jr.,Yakitori,WEST,なにわ橋駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/osaka/A2701/A270103/27117939/
ChIJSbqEHPqLGGARNH1hsv6sBRE,Maki Tori Shin Kobe,薪鳥新神戸,Yakitori,EAST,赤坂見附駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1308/A130801/13291292/
ChIJQfK0UxbcAGARmEU23dEP99k,Sumibi Yakitori Aki,炭火焼とり 安喜,Yakitori,WEST,あびこ駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/osaka/A2701/A270404/27003697/
ChIJ1VkzLVTnAGARpFXeakLWNnw,Sumibi Yakitori Morita,炭火やきとり 森田,Yakitori,WEST,本町駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/osaka/A2701/A270106/27115978/
ChIJf_IQSwBxA2ARhHdsO_OhuGE,Yakitori Kanda,焼鳥 かん田,Yakitori,EAST,市役所,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/aichi/A2301/A230109/23066675/
ChIJpzxLtCL1GGARh6WRezjNk58,Yakitori Uno,焼鳥 うの,Yakitori,EAST,奥沢駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1317/A131711/13130757/
ChIJpf4-TltcGGAR3lhF8My5Qjk,Chinese Choyuuro (Yokohama Baycourt Club Hotel & Spa Resort),中国料理 眺遊楼(横浜ベイコート倶楽部 ホテル＆スパリゾート),中国料理,EAST,みなとみらい駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/kanagawa/A1401/A140103/14081410/
ChIJ9Swy8uOKGGARu1FY9ZO_cB0,Hao Hao,好好,中国料理,TOKYO,不動前駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1317/A131710/13007471/
ChIJFUbMDABxA2ARPFu0Fes5pns,Nakayama Tei Labo,中山邸Labo,中国料理,EAST,池下駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/aichi/A2301/A230106/23078337/
ChIJOaD_fDLnAGARUkV2n6gG34c,Sanma Kurokoge Shokudo,さんま黒焦げ食堂,中国料理,WEST,天満駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/osaka/A2701/A270103/27122740/
ChIJo0fYFl-LGGAR1XxmAvRbo80,ADI,ADI,Asian Ethnic,TOKYO,中目黒駅,low,hours_raw_has_only_placeholder_entries,hours_raw contains only placeholder entries such as list_context=other with no day/time text.,1,0,"Sunday, Monday, Tuesday",https://tabelog.com/tokyo/A1317/A131701/13248455/
ChIJf3ycHTWPAGARKZvhhO3uSTI,Cini CURRY,チーニーカリー,Asian Ethnic,WEST,みなと元町駅,low,hours_raw_has_only_placeholder_entries,hours_raw contains only placeholder entries such as list_context=other with no day/time text.,1,1,Mondays and Wednesdays,https://tabelog.com/hyogo/A2801/A280102/28053601/
ChIJDT3-FoUpC18REg-u5MiWQcY,Future Curry Koris,未来カレー こりす,Asian Ethnic,EAST,資生館小学校前駅,low,hours_raw_has_only_placeholder_entries,hours_raw contains only placeholder entries such as list_context=other with no day/time text.,1,0,Tuesdays and Wednesdays,https://tabelog.com/hokkaido/A0101/A010103/1035490/
ChIJB0meoi7zGGARUqhyzZc9Prs,Hatsudai Spice Shokudo Wakon Insai Tandoru,初台スパイス食堂 和魂印才たんどーる,Asian Ethnic,TOKYO,初台駅,low,hours_raw_has_only_placeholder_entries,hours_raw contains only placeholder entries such as list_context=other with no day/time text.,1,2,"Mondays, Tuesdays, Sundays, and other irregular days.",https://tabelog.com/tokyo/A1318/A131807/13195398/
ChIJUc20q-8pC18R3OMBtNNDabM,Jhad Pul,ジャド プール,Asian Ethnic,EAST,円山公園駅,low,hours_raw_has_only_placeholder_entries,hours_raw contains only placeholder entries such as list_context=other with no day/time text.,1,0,Not fixed (announced monthly on our Facebook page),https://tabelog.com/hokkaido/A0101/A010105/1046448/
ChIJ7d0vUuPmAGARzR8KV8BLo5c,Kanmichi Pakutei,韓味一 朴邸,Asian Ethnic,WEST,本町駅,low,hours_raw_has_only_placeholder_entries,hours_raw contains only placeholder entries such as list_context=other with no day/time text.,1,0,"*If you wish to visit with children, please call the restaurant directly.",https://tabelog.com/osaka/A2701/A270106/27094202/
ChIJAQBwuJn0GGAR9ACvt7Rfl78,SUNVALLEY HOTEL,サンバレーホテル,Asian Ethnic,TOKYO,三軒茶屋駅,low,hours_raw_has_only_placeholder_entries,hours_raw contains only placeholder entries such as list_context=other with no day/time text.,1,1,"Tuesdays, Wednesdays, Thursdays, and other occasional closures.",https://tabelog.com/tokyo/A1317/A131706/13195313/
